name	curated	frequency	examples
optri+		3	cc-pVQZ-F12-OPTRI+, cc-pVTZ-F12-OPTRI+
ahgbsp3		3	AHGBSP3-5, AHGBSP3-9
vt		3	ANO-VT-DZ, ANO-VT-QZ, ANO-VT-TZ
sbo4		3	SBO4-DZ(d)-3G, SBO4-SZ-3G
atzp		3	ATZP-ZORA, jorge-ATZP-ZORA
pcv5z		3	NASA Ames cc-pCV5Z, aug-cc-pCV5Z, cc-pCV5Z
311++g		3	6-311++G, 6-311++G(2d,2p), 6-311++G(3df,3pd)
5z		3	FANO-5Z, aug-ccX-5Z
ahgbsp1		3	AHGBSP1-5, AHGBSP1-7, AHGBSP1-9
ahgbsp2		3	AHGBSP2-5, AHGBSP2-7
p)all		3	x2c-SV(P)all, x2c-SV(P)all-s
ahgbs		3	AHGBS-5, AHGBS-7, AHGBS-9
vdz		3	ANO-RCC-VDZ, Ahlrichs VDZ
svpall		3	x2c-SVPall, x2c-SVPall-2c, x2c-SVPall-s
641+		3	binning 641+(d)
tzvpall		3	x2c-TZVPall, x2c-TZVPall-s
962+		3	binning 962+, binning 962+(df)
opt)		3	cc-pVDZ(seg-opt), cc-pVQZ(seg-opt)
epc		2	epc-10s10p10d10f, epc-8s8p8d
blaudeau		2	6-31G*-Blaudeau, 6-31G-Blaudeau
31g**		2	6-31G**, 6-31G**-RIFIT
f		2	PB5-F, PB6-F
g		2	PB6-G
acv3z		2	acv3z-J, dyall-acv3z
acv2z		2	acv2z-J, dyall-acv2z
roos		2	Roos Augmented Double Zeta ANO, Roos Augmented Triple Zeta ANO
pecj		2	pecJ-1, pecJ-2
acv4z		2	acv4z-J, dyall-acv4z
vtz		2	ANO-RCC-VTZ, Ahlrichs VTZ
311g**		2	6-311G**-RIFIT
rlc		2	Stuttgart RLC, Stuttgart RLC ECP
un		2	un-ccemd-ref, un-pcemd-ref
iglo		2	IGLO-II, IGLO-III
31++g**		2	6-31++G**
may		2	may-cc-pV(Q+d)Z, may-cc-pV(T+d)Z
3zapa		2	3ZaPa-NR, 3ZaPa-NR-CV
m6		2	m6-31G, m6-31G*
lanl2tz		2	LANL2TZ, LANL2TZ(f)
