identifier	type	label	abbreviation	parent	description	has role	has family	has function type
BSEO:0000096	owl:Class	5ZaPa-NR	5ZaPa-NR	BSEO:0000004	Quintuple Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000097	owl:Class	5ZaPa-NR-CV	5ZaPa-NR-CV	BSEO:0000004	Quintuple zeta augmented + polarization (nonrelativistic + core-valence)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000098	owl:Class	6-21G	6-21G	BSEO:0000004	6-21G Split-valence basis set	BSEO:0001005	BSEO:0002015	BSEO:0003079
BSEO:0000099	owl:Class	6-31++G	6-31++G	BSEO:0000004	6-31G + diffuse on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079
BSEO:0000100	owl:Class	6-31++G*	6-31++G*	BSEO:0000004	6-31G + diffuse functions on all atoms, polarization on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000101	owl:Class	6-31++G**	6-31++G**	BSEO:0000004	6-31G + diffuse and polarization functions on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000102	owl:Class	6-31++G**-J	6-31++G**-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079|BSEO:0003080
BSEO:0000103	owl:Class	6-31+G	6-31+G	BSEO:0000004	6-31G + diffuse on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079
BSEO:0000104	owl:Class	6-31+G*	6-31+G*	BSEO:0000004	6-31G + diffuse and polarization functions on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000105	owl:Class	6-31+G*-J	6-31+G*-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079|BSEO:0003080
BSEO:0000106	owl:Class	6-31+G**	6-31+G**	BSEO:0000004	6-31G + diffuse functions on heavy atoms, polarization on all	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000107	owl:Class	6-311++G	6-311++G	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000108	owl:Class	6-311++G(2d,2p)	6-311++G(2d,2p)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000109	owl:Class	6-311++G(3df,3pd)	6-311++G(3df,3pd)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000110	owl:Class	6-311++G*	6-311++G*	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on all atoms, polarization on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000111	owl:Class	6-311++G**	6-311++G**	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse+polarization on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000112	owl:Class	6-311++G**-J	6-311++G**-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079|BSEO:0003080
BSEO:0000113	owl:Class	6-311+G	6-311+G	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000114	owl:Class	6-311+G(2d,p)	6-311+G(2d,p)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000115	owl:Class	6-311+G*	6-311+G*	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse+polarization on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000116	owl:Class	6-311+G*-J	6-311+G*-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079|BSEO:0003080
BSEO:0000117	owl:Class	6-311+G**	6-311+G**	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on heavy atoms, polarization on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000118	owl:Class	6-311G	6-311G	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000119	owl:Class	6-311G(2df,2pd)	6-311G(2df,2pd)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000120	owl:Class	6-311G(d,p)	6-311G(d,p)	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000121	owl:Class	6-311G-J	6-311G-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079
BSEO:0000122	owl:Class	6-311G*	6-311G*	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000123	owl:Class	6-311G**	6-311G**	BSEO:0000004	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000124	owl:Class	6-311G**-RIFIT	6-311G**-RIFIT	BSEO:0000004	RI-MP2 auxiliary basis for 6-311G** basis	BSEO:0001006	BSEO:0002017	BSEO:0003079|BSEO:0003080
BSEO:0000125	owl:Class	6-311xxG(d,p)	6-311xxG(d,p)	BSEO:0000004	6-311xxG(d,p) basis set	BSEO:0001005	BSEO:0002018	BSEO:0003079|BSEO:0003080
BSEO:0000126	owl:Class	6-31G	6-31G	BSEO:0000004	6-31G valence double-zeta	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081
BSEO:0000127	owl:Class	6-31G(2df,p)	6-31G(2df,p)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000128	owl:Class	6-31G(3df,3pd)	6-31G(3df,3pd)	BSEO:0000004		BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003080
BSEO:0000129	owl:Class	6-31G(d,p)	6-31G(d,p)	BSEO:0000004	6-31G + polarization on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000130	owl:Class	6-31G-Blaudeau	6-31G-Blaudeau	BSEO:0000004	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	BSEO:0001005	BSEO:0002019	BSEO:0003079|BSEO:0003080
BSEO:0000131	owl:Class	6-31G-J	6-31G-J	BSEO:0000004		BSEO:0001005	BSEO:0002016	BSEO:0003079
BSEO:0000132	owl:Class	6-31G*	6-31G*	BSEO:0000004	6-31G + polarization on heavy atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000133	owl:Class	6-31G*-Blaudeau	6-31G*-Blaudeau	BSEO:0000004	VDZP    Valence Double Zeta + Polarization on All Atoms	BSEO:0001005	BSEO:0002019	BSEO:0003079|BSEO:0003080
BSEO:0000134	owl:Class	6-31G**	6-31G**	BSEO:0000004	6-31G + polarization on all atoms	BSEO:0001005	BSEO:0002015	BSEO:0003079|BSEO:0003081|BSEO:0003080
BSEO:0000135	owl:Class	6-31G**-RIFIT	6-31G**-RIFIT	BSEO:0000004	RI-MP2 auxiliary basis for 6-31G** basis	BSEO:0001006	BSEO:0002017	BSEO:0003079|BSEO:0003081
BSEO:0000136	owl:Class	6ZaP	6ZaP	BSEO:0000004	6ZaP basis set of Zhong, Barnes, and Petersson	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000137	owl:Class	6ZaPa-NR	6ZaPa-NR	BSEO:0000004	Sextuple Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000138	owl:Class	7ZaPa-NR	7ZaPa-NR	BSEO:0000004	7Zeta augmented + polarization (nonrelativistic)	BSEO:0001005	BSEO:0002014	BSEO:0003079|BSEO:0003080
BSEO:0000139	owl:Class	acv2z-J	acv2z-J	BSEO:0000004	acv2z-J basis for indirect nuclear spin-spin coupling	BSEO:0001005	BSEO:0002020	BSEO:0003079|BSEO:0003080
BSEO:0000140	owl:Class	acv3z-J	acv3z-J	BSEO:0000004	acv3z-J basis for indirect nuclear spin-spin coupling	BSEO:0001005	BSEO:0002020	BSEO:0003079|BSEO:0003080
